acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;CC=C,5,298,3.4412688888888887,0.0428842519370168,0.0002508556352318573,7.521283950617283,7.034636804324354,0.15530864197530864,0.002618273747152541
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;CC=C,5,348,3.445619135802469,0.04580630662270922,0.00028408667516029916,7.984197530864198,8.007816660281707,0.15491358024691357,0.0024705551476110793
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=Cc1ccccc1,5,298,3.447938765432099,0.044750485820735986,0.00025477662938761783,8.361271604938272,7.258157146328445,0.15398765432098765,0.0026965630944743983
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=Cc1ccccc1,5,348,3.4486171604938263,0.04385363268127981,0.0002609935248125442,8.930234567901234,7.54673197732439,0.15430864197530864,0.0022257858942690265
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(CN),5,298,3.44705962962963,0.04474963682711986,0.0002549387752827622,8.037197530864198,7.243137762899418,0.15396296296296297,0.002516338926142673
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(CN),5,348,3.4468934567901237,0.043806366135260864,0.00025879759239161635,7.785580246913581,7.171262999569359,0.15424691358024692,0.002157564151214445
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;O=C1CCCCC1,5,298,3.4444932098765437,0.044030917752095014,0.00026088760282413594,8.139851851851851,7.159817288707985,0.15364197530864196,0.0030115360174793756
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;CC=C,5,280,3.444529259259259,0.04323363124994524,0.00023111287320987713,8.209172839506172,6.857572753452342,0.15385185185185182,0.002906404639527921
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;CC=C,5,298,3.4412688888888887,0.0428842519370168,0.0002508556352318573,7.521283950617283,7.034636804324354,0.15530864197530864,0.002618273747152541
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;CC=C,5,348,3.445619135802469,0.04580630662270922,0.00028408667516029916,7.984197530864198,8.007816660281707,0.15491358024691357,0.0024705551476110793
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=Cc1ccccc1,5,280,3.440723827160494,0.04260795142762694,0.00021435489968173,7.322691358024691,6.4188041531575,0.15340740740740738,0.0022758950364055153
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=Cc1ccccc1,5,298,3.447938765432099,0.044750485820735986,0.00025477662938761783,8.361271604938272,7.258157146328445,0.15398765432098765,0.0026965630944743983
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=Cc1ccccc1,5,348,3.4486171604938263,0.04385363268127981,0.0002609935248125442,8.930234567901234,7.54673197732439,0.15430864197530864,0.0022257858942690265
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(CN),5,280,3.4427718518518513,0.04047585965843298,0.00022228287738607533,7.449518518518519,6.175282843746864,0.15408641975308643,0.002749624130830321
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(CN),5,298,3.44705962962963,0.04474963682711986,0.0002549387752827622,8.037197530864198,7.243137762899418,0.15396296296296297,0.002516338926142673
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=C(CN),5,348,3.4468934567901237,0.043806366135260864,0.00025879759239161635,7.785580246913581,7.171262999569359,0.15424691358024692,0.002157564151214445
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;O=C1CCCCC1,5,280,3.4458069135802463,0.04321774631614718,0.00026195394903733894,8.143049382716049,6.954339904242112,0.15393827160493828,0.002578858389461786
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;O=C1CCCCC1,5,298,3.4444932098765437,0.044030917752095014,0.00026088760282413594,8.139851851851851,7.159817288707985,0.15364197530864196,0.0030115360174793756
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;O=C1CCCCC1,5,348,3.4454822222222226,0.04392262593625071,0.0002724118275627944,8.179148148148148,7.304321707570236,0.15370370370370368,0.002593650577779498
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C1CCOC1=O,5,298,3.446782962962963,0.04436953493926912,0.000262529717054499,8.19311111111111,7.5050695179415765,0.155358024691358,0.0031751684779847333
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C1CCOC1=O,5,348,3.447463086419752,0.045458130963788305,0.0002971293186349154,8.297506172839505,8.058637790599931,0.15480246913580248,0.002436450327764696
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;O=C1CN(CCO)CC1,5,298,3.444116913580247,0.04169663889826476,0.00022960857315311401,7.885111111111111,6.800571359438471,0.1535185185185185,0.002499931411953514
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;O=C1CN(CCO)CC1,5,348,3.4433103703703702,0.04344448756589062,0.00027799579687588143,8.487172839506172,7.343212380756254,0.15412345679012346,0.002530713635991275
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=Cc1cccc(C)c1,5,298,3.4500374074074074,0.04473027120881635,0.00032196532295309185,9.905888888888889,7.873992310993213,0.15428395061728392,0.0021786538368385264
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C=Cc1cccc(C)c1,5,348,3.450843703703704,0.045047680184292324,0.0002833145809146188,9.525950617283952,8.094979231782713,0.15448148148148147,0.002341842216227741
acetic_acid,CC(O)=O,8.884501480750248e-05,C=C;C1CCCC1C(=O)O,5,298,3.447192716049383,0.04546825752110796,0.00028089216493664885,8.585543209876542,7.213582673600799,0.15456790123456787,0.0025431499453564253
